GENESIS-Tabelle: 46241-0005
Unfälle mit Personenschaden, Verunglückte: Deutschland,;;;;;;;;;;;;;;;;;
Jahre, Unfalltyp/Unfallart, Ortslage, Schwere der Verletzung;;;;;;;;;;;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;
;;;;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Einbiegen/Kreuzen-Unfall;außerorts (ohne Autobahnen);Getötete;Verunglückte;Anzahl;365;320;288;304;292;231;261;253;244;240;241;228;200
Einbiegen/Kreuzen-Unfall;außerorts (ohne Autobahnen);Schwerverletzte;Unfälle mit Personenschaden;Anzahl;3569;3357;3001;3366;3213;3108;3282;3236;3244;3415;3427;3285;2829
Einbiegen/Kreuzen-Unfall;außerorts (ohne Autobahnen);Schwerverletzte;Verunglückte;Anzahl;4556;4265;3765;4336;4125;3995;4260;4206;4251;4450;4461;4321;3614
Einbiegen/Kreuzen-Unfall;außerorts (ohne Autobahnen);Leichtverletzte;Unfälle mit Personenschaden;Anzahl;9504;9150;8491;9326;8900;8610;8982;8862;8948;8657;8894;8936;7735
Einbiegen/Kreuzen-Unfall;außerorts (ohne Autobahnen);Leichtverletzte;Verunglückte;Anzahl;16252;15776;14525;15948;15345;14866;15572;15211;15256;15178;15348;15505;12714
Einbiegen/Kreuzen-Unfall;außerorts (ohne Autobahnen);Insgesamt;Unfälle mit Personenschaden;Anzahl;13409;12809;11762;12971;12391;11940;12517;12337;12426;12299;12554;12436;10755
Einbiegen/Kreuzen-Unfall;außerorts (ohne Autobahnen);Insgesamt;Verunglückte;Anzahl;21173;20361;18578;20588;19762;19092;20093;19670;19751;19868;20050;20054;16528
Einbiegen/Kreuzen-Unfall;auf Autobahnen;Getötete;Unfälle mit Personenschaden;Anzahl;9;2;6;4;7;5;2;2;1;1;3;1;4
Einbiegen/Kreuzen-Unfall;auf Autobahnen;Getötete;Verunglückte;Anzahl;9;2;19;5;7;8;2;2;1;1;3;1;4
Einbiegen/Kreuzen-Unfall;auf Autobahnen;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;52;62;54;67;63;63;87;69;73;79;61;90;40
Einbiegen/Kreuzen-Unfall;auf Autobahnen;Schwerverletzte;Verunglückte;Anzahl;76;84;96;83;85;82;109;90;98;106;84;108;59
Einbiegen/Kreuzen-Unfall;auf Autobahnen;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;246;305;276;264;273;269;277;315;310;299;305;292;285
Einbiegen/Kreuzen-Unfall;auf Autobahnen;Leichtverletzte;Verunglückte;Anzahl;404;479;461;417;471;424;471;503;480;473;483;509;425
Einbiegen/Kreuzen-Unfall;auf Autobahnen;Insgesamt;Unfälle mit Personenschaden;Anzahl;307;369;336;335;343;337;366;386;384;379;369;383;329
Einbiegen/Kreuzen-Unfall;auf Autobahnen;Insgesamt;Verunglückte;Anzahl;489;565;576;505;563;514;582;595;579;580;570;618;488
Einbiegen/Kreuzen-Unfall;Insgesamt;Getötete;Unfälle mit Personenschaden;Anzahl;526;466;425;457;434;364;419;391;369;378;371;345;311
Einbiegen/Kreuzen-Unfall;Insgesamt;Getötete;Verunglückte;Anzahl;560;489;459;489;451;381;429;413;380;396;383;359;323
Einbiegen/Kreuzen-Unfall;Insgesamt;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;11917;11370;10178;11673;10881;10291;11260;11132;11059;10874;11130;10434;9022
Einbiegen/Kreuzen-Unfall;Insgesamt;Schwerverletzte;Verunglückte;Anzahl;13387;12755;11438;13185;12287;11631;12825;12668;12652;12483;12735;11976;10264
Einbiegen/Kreuzen-Unfall;Insgesamt;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;61738;58899;53219;58049;56137;53687;56398;55869;56527;55176;56005;54667;47191
Einbiegen/Kreuzen-Unfall;Insgesamt;Leichtverletzte;Verunglückte;Anzahl;80921;77520;70478;76846;74652;71069;74754;74105;74642;73477;74032;72540;60600
Einbiegen/Kreuzen-Unfall;Insgesamt;Insgesamt;Unfälle mit Personenschaden;Anzahl;74181;70735;63822;70179;67452;64342;68077;67392;67955;66428;67506;65446;56524
Einbiegen/Kreuzen-Unfall;Insgesamt;Insgesamt;Verunglückte;Anzahl;94868;90764;82375;90520;87390;83081;88008;87186;87674;86356;87150;84875;71187
Überschreiten-Unfall;innerorts;Getötete;Unfälle mit Personenschaden;Anzahl;325;316;238;292;272;259;261;250;249;205;202;203;168
Überschreiten-Unfall;innerorts;Getötete;Verunglückte;Anzahl;329;317;239;295;275;262;263;251;250;205;205;203;169
Überschreiten-Unfall;innerorts;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;5357;5055;4553;5035;4823;4513;4483;4470;4448;4311;4119;3815;2736
Überschreiten-Unfall;innerorts;Schwerverletzte;Verunglückte;Anzahl;5494;5181;4651;5152;4930;4628;4598;4595;4564;4415;4239;3907;2802
Überschreiten-Unfall;innerorts;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;11836;11268;10655;11132;11041;10727;10261;10405;10652;10285;10285;9914;7381
Überschreiten-Unfall;innerorts;Leichtverletzte;Verunglückte;Anzahl;13658;12989;12266;12969;12720;12310;11951;12035;12172;11905;11910;11448;8548
Überschreiten-Unfall;innerorts;Insgesamt;Unfälle mit Personenschaden;Anzahl;17518;16639;15446;16459;16136;15499;15005;15125;15349;14801;14606;13932;10285
Überschreiten-Unfall;innerorts;Insgesamt;Verunglückte;Anzahl;19481;18487;17156;18416;17925;17200;16812;16881;16986;16525;16354;15558;11519
Überschreiten-Unfall;außerorts (ohne Autobahnen);Getötete;Unfälle mit Personenschaden;Anzahl;82;78;57;82;61;76;68;70;52;64;65;53;42
Überschreiten-Unfall;außerorts (ohne Autobahnen);Getötete;Verunglückte;Anzahl;84;79;58;84;61;78;69;71;52;64;67;55;42
Überschreiten-Unfall;außerorts (ohne Autobahnen);Schwerverletzte;Unfälle mit Personenschaden;Anzahl;258;266;238;251;220;225;227;225;206;201;206;182;143
Überschreiten-Unfall;außerorts (ohne Autobahnen);Schwerverletzte;Verunglückte;Anzahl;279;286;253;270;232;239;241;242;226;208;219;192;150
Überschreiten-Unfall;außerorts (ohne Autobahnen);Leichtverletzte;Unfälle mit Personenschaden;Anzahl;282;224;215;258;219;219;222;208;187;190;207;207;163
Überschreiten-Unfall;außerorts (ohne Autobahnen);Leichtverletzte;Verunglückte;Anzahl;406;320;305;387;322;338;331;305;280;267;295;281;229
Überschreiten-Unfall;außerorts (ohne Autobahnen);Insgesamt;Unfälle mit Personenschaden;Anzahl;622;568;510;591;500;520;517;503;445;455;478;442;348
Überschreiten-Unfall;außerorts (ohne Autobahnen);Insgesamt;Verunglückte;Anzahl;769;685;616;741;615;655;641;618;558;539;581;528;421
Überschreiten-Unfall;auf Autobahnen;Getötete;Unfälle mit Personenschaden;Anzahl;17;13;15;16;18;22;16;18;23;18;11;12;9
Überschreiten-Unfall;auf Autobahnen;Getötete;Verunglückte;Anzahl;17;14;15;16;18;22;16;18;23;18;12;12;9
Überschreiten-Unfall;auf Autobahnen;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;12;21;15;18;11;16;11;10;19;9;17;9;10
Überschreiten-Unfall;auf Autobahnen;Schwerverletzte;Verunglückte;Anzahl;13;21;20;21;16;20;13;13;20;15;17;14;10
Überschreiten-Unfall;auf Autobahnen;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;19;16;15;20;7;12;10;12;7;11;8;18;13
Überschreiten-Unfall;auf Autobahnen;Leichtverletzte;Verunglückte;Anzahl;40;30;29;34;18;43;28;24;18;30;20;27;16
Überschreiten-Unfall;auf Autobahnen;Insgesamt;Unfälle mit Personenschaden;Anzahl;48;50;45;54;36;50;37;40;49;38;36;39;32
Überschreiten-Unfall;auf Autobahnen;Insgesamt;Verunglückte;Anzahl;70;65;64;71;52;85;57;55;61;63;49;53;35
Überschreiten-Unfall;Insgesamt;Getötete;Unfälle mit Personenschaden;Anzahl;424;407;310;390;351;357;345;338;324;287;278;268;219
Überschreiten-Unfall;Insgesamt;Getötete;Verunglückte;Anzahl;430;410;312;395;354;362;348;340;325;287;284;270;220
Überschreiten-Unfall;Insgesamt;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;5627;5342;4806;5304;5054;4754;4721;4705;4673;4521;4342;4006;2889
